timestamp,impl,op,load_factor,metric,value,unit,tag
2026-02-22T11:17:38.113651+00:00,radix_tree,lookup_hit,0.75,std_dev,1.061454,ns,Introducing SIMD 2
2026-02-22T11:17:38.113651+00:00,radix_tree,lookup_hit,0.75,throughput_ops_per_sec,61553359.848470,ops/s,Introducing SIMD 2
2026-02-25T08:25:35.261066+00:00,radix_tree,insert_marginal,0.01,mean,9413.126221,ns,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,insert_marginal,0.01,median,9413.126221,ns,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,insert_marginal,0.01,std_dev,162.217132,ns,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,insert_marginal,0.01,throughput_ops_per_sec,13598032.895647,ops/s,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,insert_marginal,0.25,mean,10155.937012,ns,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,insert_marginal,0.25,median,10155.937012,ns,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,insert_marginal,0.25,std_dev,220.823095,ns,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,insert_marginal,0.25,throughput_ops_per_sec,12603465.327946,ops/s,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,insert_marginal,0.50,mean,7845.793945,ns,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,insert_marginal,0.50,median,7845.793945,ns,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,insert_marginal,0.50,std_dev,135.934373,ns,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,insert_marginal,0.50,throughput_ops_per_sec,16314473.830462,ops/s,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,insert_marginal,0.75,mean,8706.842773,ns,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,insert_marginal,0.75,median,8706.842773,ns,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,insert_marginal,0.75,std_dev,52.444674,ns,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,insert_marginal,0.75,throughput_ops_per_sec,14701080.900473,ops/s,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,lookup_hit,0.01,mean,2.600827,ns,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,lookup_hit,0.01,median,2.675463,ns,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,lookup_hit,0.01,std_dev,0.182310,ns,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,lookup_hit,0.01,throughput_ops_per_sec,384493138.058998,ops/s,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,lookup_hit,0.25,mean,3.801854,ns,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,lookup_hit,0.25,median,3.784903,ns,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,lookup_hit,0.25,std_dev,0.313718,ns,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,lookup_hit,0.25,throughput_ops_per_sec,263029598.164546,ops/s,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,lookup_hit,0.50,mean,7.211404,ns,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,lookup_hit,0.50,median,7.261569,ns,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,lookup_hit,0.50,std_dev,0.454902,ns,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,lookup_hit,0.50,throughput_ops_per_sec,138669253.290739,ops/s,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,lookup_hit,0.75,mean,11.993451,ns,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,lookup_hit,0.75,median,12.243226,ns,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,lookup_hit,0.75,std_dev,0.982815,ns,slot aligned
2026-02-25T08:25:35.261066+00:00,radix_tree,lookup_hit,0.75,throughput_ops_per_sec,83378838.758391,ops/s,slot aligned
2026-02-25T09:57:11.537607+00:00,radix_tree,insert_marginal,0.01,mean,3128.753796,ns,preferred linear SIMD/NEON
